#Chip 	 Chn 	 Mem 	 BXID 	 Mean 	 Mean_err 	 RMS
144	16	5	1	-134.298	0.455142	5.95175	
144	16	6	1	-135.245	0.590733	6.22376	
144	19	1	0	-152.06	0.344055	7.42714	
144	19	1	1	-130.31	0.329753	7.42494	
144	19	2	0	-133.167	0.427787	7.14545	
144	19	2	1	-111.903	0.473442	8.13163	
144	19	3	0	-141.633	0.572304	8.35251	
144	19	3	1	-119.979	0.401379	5.76088	
144	19	4	0	-152.893	0.687783	7.56561	
144	19	4	1	-129.634	0.624573	6.6393	
144	20	1	0	-159.435	0.199293	5.15472	
144	20	1	1	-136.631	0.252999	6.50951	
144	20	2	0	-171.476	0.298548	6.43092	
144	20	2	1	-148.478	0.333117	6.89962	
144	20	3	0	-169.09	0.44853	7.85887	
144	20	3	1	-145.553	0.393891	6.97977	
144	20	4	0	-159.41	0.589939	8.60987	
144	20	4	1	-136.665	0.514997	6.90941	
144	20	5	0	-176.086	0.682598	7.63168	
144	20	5	1	-151.661	0.516862	6.1374	
144	21	1	0	-151.021	0.310684	7.01623	
144	21	1	1	-128.235	0.334952	7.78359	
144	21	2	0	-147.627	0.408982	7.49676	
144	21	2	1	-125.366	0.32836	5.93779	
144	21	3	0	-138.998	0.467294	7.43276	
144	21	3	1	-116.829	0.385912	5.90332	
144	21	4	0	-145.575	0.775682	9.07912	
144	21	4	1	-122.358	0.545129	6.65415	
144	25	1	0	-161.573	0.188703	5.68619	
144	25	1	1	-138.273	0.271485	8.20316	
144	25	2	0	-168.59	0.331047	7.80597	
144	25	2	1	-145.495	0.332263	8.18608	
144	25	3	0	-157.016	0.402044	7.97022	
144	25	3	1	-136.463	0.273978	5.34783	
144	25	4	0	-156.36	0.497084	7.98436	
144	25	4	1	-132.479	0.381948	5.76728	
144	25	5	0	-147.779	0.646383	7.96914	
144	25	5	1	-126.462	0.416632	5.22038	
144	27	1	0	-153.835	0.30819	7.33854	
144	27	1	1	-131.106	0.299116	6.88617	
144	27	2	0	-161.701	0.471097	8.83856	
144	27	2	1	-139.669	0.364571	7.07869	
144	27	3	0	-164.946	0.486054	7.40335	
144	27	3	1	-142.254	0.424822	7.05767	
