#Module 	 Chip 	 Chn 	 Mem 	 Pedestal 	 MeanError
1	129	10	13	270.639	0.781887
1	129	10	14	276.864	1.00115
1	129	10	15	245.59	1.13363
1	129	11	1	265.818	0.275655
1	129	11	2	266.244	0.276611
1	129	11	3	274.679	0.286511
1	129	11	4	265.418	0.279368
1	129	11	5	279.598	0.300886
1	129	11	6	272.169	0.304322
1	129	11	7	266.286	0.316585
1	129	11	8	273.029	0.353709
1	129	11	9	270.991	0.392755
1	129	11	10	269.685	0.448093
1	129	11	11	289.71	0.564773
1	129	11	12	278.804	0.65231
1	129	11	13	286.608	0.82261
1	129	11	14	291.134	1.04632
1	129	11	15	272.858	1.25121
1	129	12	1	242.121	0.250427
1	129	12	2	242.54	0.251305
1	129	12	3	263.131	0.273552
1	129	12	4	249.729	0.262151
1	129	12	5	254.307	0.272836
1	129	12	6	262.167	0.29246
1	129	12	7	238.898	0.283311
1	129	12	8	260.773	0.336834
1	129	12	9	256.602	0.370743
1	129	12	10	252.921	0.418987
1	129	12	11	266.057	0.516878
1	129	12	12	266.886	0.622307
1	129	12	13	261.686	0.748506
1	129	12	14	257.829	0.922674
1	129	12	15	254.884	1.16181
1	129	13	1	253.002	0.258257
1	129	13	2	262.637	0.26853
1	129	13	3	264.597	0.271351
1	129	13	4	261.618	0.270998
1	129	13	5	262.967	0.278231
1	129	13	6	271.782	0.299288
1	129	13	7	255.738	0.299081
1	129	13	8	265.623	0.338505
1	129	13	9	262.037	0.373498
1	129	13	10	251.236	0.410568
1	129	13	11	283.585	0.543556
1	129	13	12	280.202	0.645158
1	129	13	13	283.355	0.799779
1	129	13	14	282.373	0.997616
1	129	13	15	262.85	1.18346
1	129	14	1	236.406	0.245222
1	129	14	2	232.956	0.242012
1	129	14	3	255.946	0.266856
1	129	14	4	247.361	0.260368
1	129	14	5	257.956	0.277488
1	129	14	6	254.082	0.284205
1	129	14	7	249.047	0.296131
1	129	14	8	260.619	0.337787
1	129	14	9	258.824	0.375183
1	129	14	10	252.134	0.419017
1	129	14	11	260.804	0.508305
1	129	14	12	268.454	0.628332
1	129	14	13	278.426	0.799823
1	129	14	14	263.04	0.945417
1	129	14	15	249.034	1.13991
1	129	15	1	234.5	0.24348
1	129	15	2	238.524	0.248
1	129	15	3	248.803	0.25954
1	129	15	4	236.367	0.24906
1	129	15	5	253.414	0.27282
1	129	15	6	255.24	0.285772
1	129	15	7	237.765	0.282972
1	129	15	8	244.039	0.316467
1	129	15	9	245.292	0.355807
1	129	15	10	247.726	0.412153
1	129	15	11	265.773	0.518735
1	129	15	12	257.186	0.602594
1	129	15	13	266.413	0.765798
1	129	15	14	261.209	0.940691
1	129	15	15	244.432	1.12139
